time,gr,tx,ty,tz,rx,ry,rz,qw,qx,qy,qz
5.933,0.012644773349165916,0.49726,0.26221,0.07484,-0.06061,-0.12782,-0.05016,0.99714,-0.03183,-0.06306,-0.02695
6.0,0.012644773349165916,0.49726,0.26221,0.07484,-0.06063,-0.12782,-0.05018,0.99714,-0.03184,-0.06306,-0.02696
6.067,0.0110691012814641,0.49726,0.26221,0.07484,-0.06063,-0.12782,-0.05018,0.99714,-0.03184,-0.06306,-0.02696
6.133,0.0110691012814641,0.49727,0.26221,0.07484,-0.06063,-0.12782,-0.05018,0.99714,-0.03184,-0.06306,-0.02696
6.2,0.009212705306708813,0.49726,0.26221,0.07484,-0.06063,-0.12782,-0.05018,0.99714,-0.03184,-0.06306,-0.02696
6.267,0.009212705306708813,0.49727,0.2622,0.07484,-0.06063,-0.12782,-0.05016,0.99714,-0.03184,-0.06306,-0.02695
6.333,0.009212705306708813,0.49726,0.26221,0.07484,-0.06063,-0.12782,-0.05018,0.99714,-0.03184,-0.06306,-0.02696
6.4,0.007602230180054903,0.49726,0.26221,0.07484,-0.06063,-0.12782,-0.05018,0.99714,-0.03184,-0.06306,-0.02696
6.467,0.007602230180054903,0.49726,0.26221,0.07484,-0.06063,-0.12782,-0.05018,0.99714,-0.03184,-0.06306,-0.02696
6.533,0.007602230180054903,0.49727,0.26221,0.07484,-0.06063,-0.12782,-0.05018,0.99714,-0.03184,-0.06306,-0.02696
6.6,0.00574353476986289,0.49726,0.2622,0.07484,-0.06063,-0.12782,-0.05016,0.99714,-0.03184,-0.06306,-0.02695
6.667,0.00574353476986289,0.49726,0.2622,0.07484,-0.06063,-0.12782,-0.05016,0.99714,-0.03184,-0.06306,-0.02695
6.733,0.00574353476986289,0.49726,0.26221,0.07484,-0.06063,-0.12782,-0.05016,0.99714,-0.03184,-0.06306,-0.02695
6.8,0.0038687516935169697,0.49726,0.2622,0.07484,-0.06063,-0.12782,-0.05016,0.99714,-0.03184,-0.06306,-0.02695
6.867,0.0038687516935169697,0.49726,0.26221,0.07484,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
6.933,0.0022553217131644487,0.49726,0.2622,0.07484,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.0,0.0022553217131644487,0.49726,0.2622,0.07484,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.067,0.0022553217131644487,0.49726,0.2622,0.07483,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.133,0.0006635616882704198,0.49726,0.2622,0.07484,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.2,0.0006635616882704198,0.49726,0.2622,0.07484,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
7.267,0.0001553016627440229,0.49726,0.2622,0.07484,-0.06063,-0.12784,-0.05016,0.99714,-0.03184,-0.06307,-0.02695
